Vds	Vsg = 150	Vsg = 300	Vsg = 450	Vsg = 600	Vsg = 750	Vsg = 900
0.365	-7.28199999999999e-05	-0.0018474	-0.00991799999999998	-0.01898	-0.0373199999999999	-0.0807600000000001
0.36	-7.19999999999999e-05	-0.0018358	-0.00995799999999998	-0.0191799999999999	-0.0382799999999999	-0.0825600000000001
0.355	-7.14599999999999e-05	-0.0018268	-0.00998999999999998	-0.0195	-0.0393599999999999	-0.08428
0.35	-7.02800000000001e-05	-0.0018142	-0.010008	-0.01982	-0.04048	-0.0859000000000001
0.345	-6.88400000000003e-05	-0.00179040000000001	-0.00999000000000003	-0.0200800000000001	-0.0415800000000002	-0.0876000000000003
0.34	-6.77800000000003e-05	-0.00177220000000001	-0.00996200000000004	-0.0203200000000001	-0.0427400000000002	-0.0893400000000003
0.335	-6.67400000000003e-05	-0.00176360000000001	-0.00996200000000005	-0.0205000000000001	-0.0439200000000002	-0.0910800000000004
0.33	-6.55800000000003e-05	-0.00174620000000001	-0.00995400000000005	-0.0206000000000001	-0.0450400000000001	-0.0928600000000004
0.325	-6.46800000000001e-05	-0.0017274	-0.00998000000000002	-0.0207800000000001	-0.04634	-0.0945400000000002
0.32	-6.372e-05	-0.0017154	-0.01006	-0.02102	-0.04782	-0.09612
0.315	-6.244e-05	-0.0016978	-0.010102	-0.0212	-0.04926	-0.0977599999999999
0.31	-6.126e-05	-0.0016824	-0.01008	-0.02146	-0.05072	-0.0993999999999998
0.305	-6.03599999999999e-05	-0.0016698	-0.010046	-0.0219	-0.0522400000000001	-0.10096
0.3	-5.93999999999999e-05	-0.0016486	-0.010032	-0.02232	-0.05374	-0.10254
0.295	-5.84999999999999e-05	-0.0016328	-0.010024	-0.02262	-0.0553199999999999	-0.10422
0.29	-5.79799999999999e-05	-0.0016262	-0.010024	-0.02302	-0.0570199999999999	-0.1059
0.285	-5.71199999999999e-05	-0.0016116	-0.010072	-0.02348	-0.0587399999999999	-0.10746
0.28	-5.582e-05	-0.0015944	-0.010128	-0.02384	-0.0605399999999999	-0.10896
0.275	-5.508e-05	-0.0015872	-0.010142	-0.02426	-0.0624199999999999	-0.11052
0.27	-5.462e-05	-0.0015768	-0.010166	-0.0248	-0.0642399999999999	-0.11192
0.265	-5.362e-05	-0.001556	-0.010224	-0.02528	-0.066	-0.11312
0.26	-5.264e-05	-0.0015366	-0.01026	-0.0258	-0.06782	-0.11442
0.255	-5.21e-05	-0.0015214	-0.010282	-0.02644	-0.0696599999999999	-0.11582
0.25	-5.12999999999999e-05	-0.0015042	-0.01032	-0.027	-0.0714399999999999	-0.11724
0.245	-5.01399999999999e-05	-0.001483	-0.01037	-0.02756	-0.0732999999999999	-0.11868
0.24	-4.93199999999999e-05	-0.0014654	-0.010408	-0.02824	-0.0752599999999999	-0.11998
0.235	-4.88199999999999e-05	-0.0014564	-0.010412	-0.029	-0.0772199999999999	-0.12122
0.23	-4.804e-05	-0.0014484	-0.010446	-0.0298799999999999	-0.0792199999999999	-0.12246
0.225	-4.71600000000001e-05	-0.0014364	-0.010538	-0.0309	-0.0813000000000001	-0.12354
0.22	-4.65200000000002e-05	-0.00142600000000001	-0.010618	-0.0319400000000001	-0.0833400000000003	-0.1247
0.215	-4.57400000000002e-05	-0.00141900000000001	-0.010668	-0.0329800000000001	-0.0853200000000003	-0.1261
0.21	-4.48000000000001e-05	-0.00140700000000001	-0.0107400000000001	-0.0340600000000001	-0.0873000000000003	-0.12738
0.205	-4.40000000000001e-05	-0.00139060000000001	-0.01084	-0.0351400000000001	-0.0892600000000003	-0.128480000000001
0.2	-4.3243e-05	-0.0013786	-0.010928	-0.03624	-0.0911800000000001	-0.12958
0.195	-4.2656e-05	-0.0013688	-0.011016	-0.0375	-0.0930199999999999	-0.13062
0.19	-4.2283e-05	-0.0013548	-0.011152	-0.0389399999999999	-0.0948999999999999	-0.13164
0.185	-4.18e-05	-0.0013398	-0.01132	-0.04038	-0.0969	-0.13266
0.18	-4.1205e-05	-0.0013292	-0.011466	-0.04184	-0.0988199999999999	-0.13368
0.175	-4.0606e-05	-0.001323	-0.011596	-0.04346	-0.10058	-0.13478
0.17	-3.9918e-05	-0.001315	-0.01175	-0.04518	-0.10244	-0.13582
0.165	-3.9204e-05	-0.0013032	-0.01193	-0.04688	-0.10428	-0.13658
0.16	-3.8628e-05	-0.001296	-0.012134	-0.04866	-0.10592	-0.13732
0.155	-3.8147e-05	-0.00129	-0.012356	-0.0505199999999999	-0.10758	-0.13822
0.15	-3.7744e-05	-0.0012802	-0.012618	-0.05242	-0.10934	-0.13914
0.145	-3.7301e-05	-0.0012746	-0.012946	-0.0543799999999999	-0.11102	-0.14002
0.14	-3.6794e-05	-0.0012722	-0.0133	-0.0564199999999999	-0.11264	-0.14098
0.135	-3.6534e-05	-0.0012678	-0.013664	-0.0586	-0.11428	-0.14192
0.13	-3.6353e-05	-0.0012652	-0.014078	-0.0608399999999999	-0.11588	-0.14268
0.125	-3.5978e-05	-0.0012662	-0.014538	-0.0630199999999999	-0.11752	-0.14342
0.12	-3.572e-05	-0.0012704	-0.015024	-0.06524	-0.11912	-0.14416
0.115	-3.5663e-05	-0.00128	-0.015566	-0.067372	-0.12062	-0.14484
0.11	-3.5485e-05	-0.0012938	-0.016202	-0.0692779999999999	-0.12216	-0.14552
0.105	-3.5415e-05	-0.0013104	-0.016912	-0.0714199999999999	-0.12366	-0.14628
0.1	-3.568e-05	-0.0013314	-0.01766	-0.0738800000000001	-0.12496	-0.147
0.095	-3.60320000000001e-05	-0.0013574	-0.0184820000000001	-0.0763540000000003	-0.12624	-0.147680000000001
0.09	-3.65110000000001e-05	-0.001388	-0.0193940000000001	-0.0789320000000003	-0.1275	-0.14828
0.0850000000000001	-3.72780000000001e-05	-0.0014238	-0.0203960000000001	-0.0817240000000003	-0.128482	-0.148800000000001
0.0800000000000001	-3.82690000000001e-05	-0.00146820000000001	-0.0215340000000001	-0.0843520000000003	-0.129288	-0.149380000000001
0.0750000000000001	-3.9438e-05	-0.0015226	-0.02282	-0.0867300000000001	-0.130272	-0.14981
0.0700000000000001	-4.0841e-05	-0.0015874	-0.024206	-0.0891119999999999	-0.13147	-0.150048
0.0650000000000001	-4.2606e-05	-0.001668	-0.025706	-0.0915699999999999	-0.132764	-0.150566
0.0600000000000001	-4.4803e-05	-0.0017668	-0.027332	-0.0940059999999999	-0.13416	-0.15131
0.055	-4.7491e-05	-0.001882	-0.029076	-0.0963719999999999	-0.135666	-0.15189
0.05	-5.0899e-05	-0.0020164	-0.030936	-0.0987219999999999	-0.137024	-0.15258
0.045	-5.50749999999999e-05	-0.0021772	-0.032926	-0.101002	-0.138078	-0.153464
0.04	-6.00589999999999e-05	-0.002366	-0.035088	-0.103252	-0.139048	-0.15412
0.035	-6.61009999999999e-05	-0.00258256	-0.03741	-0.105468	-0.140038	-0.154578
0.03	-7.32519999999999e-05	-0.00283328	-0.0398518	-0.10761	-0.140992	-0.155072
0.025	-8.16259999999999e-05	-0.00312522	-0.0424392	-0.109722	-0.141912	-0.15553
0.02	-9.16211999999999e-05	-0.00346364	-0.0451846	-0.111807	-0.1428384	-0.155956
0.015	-0.0001017218	-0.003858232	-0.04814816	-0.11424768	-0.14429264	-0.1570355
0.01	-0.0001100756	-0.004254776	-0.05100168	-0.11688104	-0.14618432	-0.1586645
0.005	-0.000119784333333333	-0.00469519333333333	-0.0540074666666666	-0.119571733333333	-0.148060533333333	-0.160220833333333
0	-0.000122114	-0.00506351999999999	-0.0566375999999999	-0.1229168	-0.1513984	-0.163455
