|Vds|	Gm_|Vgs|=0.15V	Gm_|Vgs|=0.3V	Gm_|Vgs|=0.45V	Gm_|Vgs|=0.6V	Gm_|Vgs|=0.75V	Gm_|Vgs|=0.9V
0.26	1.39754e-07	1.39128e-07	1.35754e-07	1.39752e-07	1.4024e-07	1.425e-07
0.255	1.33189e-07	1.29422e-07	1.30653e-07	1.30294e-07	1.33348e-07	1.3233e-07
0.25	1.3052e-07	1.2352e-07	1.28994e-07	1.25384e-07	1.30958e-07	1.27226e-07
0.245	1.24011e-07	1.20414e-07	1.24659e-07	1.23105e-07	1.2684e-07	1.25366e-07
0.24	1.16495e-07	1.16582e-07	1.20181e-07	1.18495e-07	1.19059e-07	1.20613e-07
0.235	1.12471e-07	1.12946e-07	1.16386e-07	1.13661e-07	1.12892e-07	1.15455e-07
0.23	1.05609e-07	1.09537e-07	1.08113e-07	1.09247e-07	1.06765e-07	1.11928e-07
0.225	9.39000000000001e-08	1.02309e-07	9.62320000000001e-08	1.00923e-07	9.68700000000001e-08	1.04685e-07
0.22	8.49230000000003e-08	9.12750000000003e-08	8.70520000000003e-08	8.98850000000003e-08	8.68700000000003e-08	9.32110000000003e-08
0.215	8.01450000000003e-08	8.20260000000003e-08	8.15200000000003e-08	8.17370000000003e-08	8.06170000000003e-08	8.43890000000003e-08
0.21	7.57610000000003e-08	7.62370000000003e-08	7.71130000000003e-08	7.69100000000003e-08	7.71180000000003e-08	7.93350000000003e-08
0.205	7.12690000000003e-08	7.17850000000003e-08	7.27080000000003e-08	7.27800000000003e-08	7.34680000000003e-08	7.46940000000003e-08
0.2	6.73690000000001e-08	6.80700000000001e-08	6.79380000000001e-08	6.86640000000001e-08	6.88580000000001e-08	7.03920000000001e-08
0.195	6.40049999999999e-08	6.46519999999999e-08	6.38119999999999e-08	6.45929999999999e-08	6.51309999999999e-08	6.66359999999999e-08
0.19	6.07499999999999e-08	6.1362e-08	6.03859999999999e-08	6.1171e-08	6.22939999999999e-08	6.28959999999999e-08
0.185	5.7564e-08	5.80829999999999e-08	5.6976e-08	5.8252e-08	5.87829999999999e-08	5.9264e-08
0.18	5.4666e-08	5.4768e-08	5.3889e-08	5.5261e-08	5.50359999999999e-08	5.6211e-08
0.175	5.1938e-08	5.1583e-08	5.1351e-08	5.24e-08	5.20789999999999e-08	5.33969999999999e-08
0.17	4.9026e-08	4.8625e-08	4.8843e-08	4.9773e-08	4.9538e-08	5.0548e-08
0.165	4.6121e-08	4.6068e-08	4.6338e-08	4.7041e-08	4.688e-08	4.7932e-08
0.16	4.358e-08	4.3865e-08	4.4109e-08	4.4329e-08	4.4331e-08	4.5563e-08
0.155	4.1387e-08	4.1724e-08	4.202e-08	4.2003e-08	4.2141e-08	4.3322e-08
0.15	3.9407e-08	3.9663e-08	3.99609999999999e-08	3.9963e-08	4.0069e-08	4.1185e-08
0.145	3.753e-08	3.7802e-08	3.7924e-08	3.7963e-08	3.7972e-08	3.9101e-08
0.14	3.5739e-08	3.5929e-08	3.5815e-08	3.5983e-08	3.6033e-08	3.7208e-08
0.135	3.4106e-08	3.4038e-08	3.3865e-08	3.4122e-08	3.4408e-08	3.5433e-08
0.13	3.247e-08	3.231e-08	3.2199e-08	3.2415e-08	3.2932e-08	3.3613e-08
0.125	3.0717e-08	3.0673e-08	3.064e-08	3.0789e-08	3.1404e-08	3.2002e-08
0.12	2.9124e-08	2.9112e-08	2.93e-08	2.9292e-08	2.9932e-08	3.0659e-08
0.115	2.7744e-08	2.7707e-08	2.8174e-08	2.803e-08	2.8581e-08	2.9292e-08
0.11	2.6391e-08	2.6528e-08	2.6948e-08	2.6858e-08	2.7247e-08	2.7942e-08
0.105	2.5175e-08	2.5503e-08	2.565e-08	2.5657e-08	2.5935e-08	2.6795e-08
0.1	2.4261e-08	2.4444e-08	2.4493e-08	2.4621e-08	2.483e-08	2.571e-08
0.095	2.36030000000001e-08	2.35210000000001e-08	2.35440000000001e-08	2.38570000000001e-08	2.40470000000001e-08	2.45960000000001e-08
0.09	2.29270000000001e-08	2.28080000000001e-08	2.27420000000001e-08	2.31190000000001e-08	2.33670000000001e-08	2.37570000000001e-08
0.0850000000000001	2.20860000000001e-08	2.19490000000001e-08	2.19360000000001e-08	2.21790000000001e-08	2.25080000000001e-08	2.31770000000001e-08
0.0800000000000001	2.11830000000001e-08	2.10000000000001e-08	2.11160000000001e-08	2.13010000000001e-08	2.16560000000001e-08	2.24000000000001e-08
0.0750000000000001	2.0239e-08	2.0248e-08	2.032e-08	2.0596e-08	2.0932e-08	2.1485e-08
0.0700000000000001	1.9264e-08	1.9533e-08	1.9577e-08	1.9791e-08	2.0098e-08	2.0803e-08
0.0650000000000001	1.85852e-08	1.8902e-08	1.90861e-08	1.91421e-08	1.94046e-08	2.02e-08
0.0600000000000001	1.83332e-08	1.85918e-08	1.8846e-08	1.89143e-08	1.91376e-08	1.96346e-08
0.055	1.8148e-08	1.83397e-08	1.8538e-08	1.86586e-08	1.8886e-08	1.93744e-08
0.05	1.79029e-08	1.80482e-08	1.82468e-08	1.83037e-08	1.85434e-08	1.92402e-08
0.045	1.7661e-08	1.785e-08	1.80544e-08	1.81435e-08	1.83663e-08	1.90508e-08
0.04	1.74085e-08	1.76446e-08	1.77627e-08	1.79882e-08	1.82294e-08	1.88883e-08
0.035	1.72234e-08	1.74822e-08	1.75533e-08	1.78005e-08	1.80935e-08	1.88131e-08
0.03	1.72757e-08	1.75791e-08	1.76649e-08	1.79007e-08	1.82009e-08	1.88885e-08
0.025	1.75774e-08	1.78602e-08	1.79314e-08	1.8236e-08	1.85389e-08	1.91598e-08
0.02	1.80137e-08	1.81798e-08	1.82791e-08	1.85927e-08	1.89438e-08	1.95909e-08
0.015	1.84914e-08	1.86029e-08	1.87476e-08	1.9022e-08	1.93877e-08	2.01171e-08
0.01	1.89303e-08	1.90781e-08	1.91849e-08	1.95007e-08	1.98272e-08	2.05893e-08
0.005	1.94476666666667e-08	1.95828333333333e-08	1.97166666666666e-08	2.00413333333333e-08	2.0365e-08	2.107e-08
0	1.9819e-08	2.0113e-08	2.0164e-08	2.0461e-08	2.0793e-08	2.1468e-08
